,Height,Width,Hue_mean,Sat_mean,Bright_mean
30,547,456,0.5115807488911781,0.8208347896573093,0.4373015962855844
31,694,512,0.35566992576537537,0.6552970606340545,0.6397298756498274
32,941,638,0.16242446171908986,0.37360228995441247,0.5539083836840097
33,551,350,0.09977719850052445,0.5814733854924348,0.8598588153954867
34,700,421,0.2654672918944758,0.3700375662960334,0.4408785271828445
35,700,513,0.10257257333908876,0.49788285775725494,0.6705704784837909
36,600,496,0.11772925551372664,0.5021234634411016,0.40344273139363274
37,610,800,0.11501291460722973,0.32770590293351537,0.5819820797171328
38,1024,928,0.37634440972207,0.5647996205164889,0.6107287217991995
39,800,582,0.1919670044676833,0.473600621276635,0.46633407452328013
40,800,642,0.3506868806164507,0.32785564295807035,0.5883404037627512
41,800,699,0.27213431252924325,0.7487967542833356,0.8137383306684619
42,900,796,0.49054926063058923,0.3573579299003589,0.48187275703134413
43,637,500,0.7201824207862741,0.5014673037680112,0.2145376796872595
44,374,426,0.6969498657512218,0.5297365768549726,0.3480667585253579
45,939,1329,0.11262711621820681,0.3901069580511503,0.7551953672149517
46,512,431,0.3030541374258384,0.49466887794781306,0.6740560029116053
47,802,745,0.08902894607419885,0.8392299950286035,0.885800238185954
48,700,504,0.1490398944856137,0.19950038685084884,0.8034823596105112
49,767,673,0.35451379559578367,0.12486794932594915,0.2551630208623568
50,800,587,0.21754475225449205,0.6219679335991678,0.3834156979657281
51,800,519,0.13064471695976596,0.27266329264250705,0.7684670841361594
52,570,403,0.06757215316569795,0.7330626444649683,0.7826721672082705
53,1024,768,0.09045525444626835,0.18167401796827945,0.5492838591531991
54,664,800,0.22357276489373756,0.44456977409697274,0.5912708702456887
55,2560,1489,0.2975382924844736,0.7628131472503319,0.7111514751971977
56,1200,992,0.10604197016958371,0.6463799193864584,0.9414497516076328
57,943,709,0.410689256809222,0.36150312640918875,0.4939242218671473
58,800,432,0.273328593294005,0.48379511421449334,0.674337327523602
59,467,354,0.10743270510609919,0.4287032555282421,0.8068325596610123
60,768,498,0.4601475294720107,0.3473458371148468,0.04531424308344488
61,600,516,0.9234971311324428,0.4677831802026635,0.33679381364949085
62,636,508,0.0781961131897512,0.508159560291505,0.7151750193961602
63,588,800,0.07904447062071471,0.3278617577624194,0.8373538331999469
64,512,330,0.7528747239901448,0.2880449320411778,0.19946883819815808
65,590,800,0.141286058659055,0.30264775517743814,0.6373740694582917
66,1206,951,0.3969302763288285,0.5757524089643249,0.2917270584733973
67,650,533,0.7475084689301389,0.07557725575480471,0.14581565967417415
68,600,523,0.16785864500782413,0.3273855836090384,0.11611625988827654
69,800,790,0.0809068429582794,0.6080989329770309,0.8496422002978405
70,390,189,0.1327853357430858,0.5256595665448581,0.4904853413350146
71,800,477,0.07308901165767903,0.666049890730321,0.8581971163727546
